#DataName: Atmospheric Wind and Refractive Index Structure Constant
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-01T04:51:33
#DataLevel: L2
#DataVersion: V01.00
#DataStartTime: 2024-04-01T04:49:26.000
#DataEndTime: 2024-04-01T04:51:26.000
#RecordNumber: 200
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=576kW, WellRAntennaNum=931, WellTAntennaNum=576
#DeviceSpec: Freq=161.00MHz, PkPower=1152kW, RAntennaNum=931, TAntennaNum=576, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=5000.00Hz, PlsAccum=16, Range=30km, GateNum=200, Rmin=100m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=5
#Height(km): The Height Level of the Wind Data, F7.2, missingdata=NaN
#Horiz WS(m/s): Horizontal Wind Speed in m/s, F8.2, missingdata=-99999999
#Horiz_WD(m/s): Horizontal Direction in Degree, Clockwise from Due North, F8.2, missingdata=-99999999
#Verti_V(m/s): Vertical Velocity in m/s, F7.2, missingdata=-9999999
#Cn2(dB): Atmospheric Refractive index Structure Constant in dB, F7.2, missingdata=-9999999
#Credi: Credibility of Data, I5.3, missingdata=-99999
#-------------------------------------------------------------------
 Height Horiz_WS Horiz_WD Verti_V     Cn2 Credi
   0.10     1.76   165.44    0.29 -173.00    94
   0.25     0.58   219.77    0.31 -172.55   100
   0.40     1.18   255.42    0.30 -172.43    94
   0.55     1.19   280.89    0.19 -172.57    78
   0.70     2.10   281.02    0.32 -172.42    84
   0.85     1.55   248.91    0.16 -171.99    89
   1.00     1.40   235.97    0.07 -168.64    84
   1.15     1.14   269.23   -0.08 -160.55    78
   1.30     1.37   104.96   -0.54 -152.74    85
   1.45     0.96    89.69   -1.23 -147.36   100
   1.60     1.20   120.25   -1.46 -146.75   100
   1.75     1.57   132.63   -1.85 -146.45   100
   1.90     1.72   137.53   -1.83 -146.45   100
   2.05     2.06   149.50   -1.72 -149.22   100
   2.20     2.34   149.48   -1.67 -154.43    85
   2.35 -99999999 -99999999 -9999999 -154.43 -99999
   2.50 -99999999 -99999999 -9999999 -158.41 -99999
   2.65 -99999999 -99999999 -9999999 -168.00 -99999
   2.80 -99999999 -99999999 -9999999 -173.99 -99999
   2.95 -99999999 -99999999 -9999999 -174.04 -99999
   3.10 -99999999 -99999999 -9999999 -174.04 -99999
   3.25 -99999999 -99999999 -9999999 -174.04 -99999
   3.40     2.12   314.12    1.00 -9999999    76
   3.55     0.90    29.07    0.47 -9999999    89
   3.70     1.64    18.56    0.27 -9999999    89
   3.85     0.46   353.97   -0.04 -173.87    89
   4.00     9.31    86.90   -0.36 -173.87    94
   4.15     8.65    84.20   -0.32 -174.00   100
   4.30     1.23    44.57    0.45 -173.62    91
   4.45     0.93    70.87    0.46 -173.82    94
   4.60     1.71    61.54    0.41 -173.62    98
   4.75     7.14   177.41   -0.37 -173.97   100
   4.90     8.30   155.06   -0.06 -174.08    95
   5.05     3.84    86.95    0.71 -174.15   100
   5.20    14.30   178.46   -1.17 -174.08   100
   5.35    14.86   178.87   -1.06 -174.08    88
   5.50     7.85   174.40   -0.36 -173.83    99
   5.65    15.45   177.43   -1.31 -173.82    97
   5.80    15.19   176.56   -1.25 -173.54   100
   5.95    15.35   175.19   -1.22 -173.52   100
   6.10    22.55   177.32   -2.11 -173.70    97
   6.25    23.18   176.49   -2.08 -173.83   100
   6.40    15.46   172.59   -1.27 -173.76    98
   6.55    23.41   166.53   -1.86 -173.93   100
   6.70    22.98   175.21   -2.16 -173.76   100
   6.85    31.69   162.86   -3.66 -173.92   100
   7.00    38.40   165.90   -4.26 -173.97   100
   7.15    45.37   168.05   -4.96 -173.79    97
   7.30    45.74   169.43   -4.95 -173.45   100
   7.45    45.64   169.43   -4.93 -173.35    98
   7.60    29.99   178.88   -2.53 -173.05   100
   7.75    14.95   178.29   -0.98 -172.96   100
   7.90     0.37    90.00    0.70 -172.68   100
   8.05     0.58    71.57    0.72 -172.60   100
   8.20     0.58    71.57    0.74 -172.62    80
   8.35     0.78    45.00    0.73 -172.35   100
   8.50     0.92    36.87    0.67 -172.35   100
   8.65     1.07    30.96    0.61 -172.47   100
   8.80     0.66    56.31    0.59 -172.28   100
   8.95     1.07    30.96    0.65 -172.35   100
   9.10     0.66    56.31    0.71 -172.57   100
   9.25     0.92    36.87    0.71 -172.57   100
   9.40     0.66    33.69    0.67 -172.45   100
   9.55     1.07    30.96    0.61 -172.45   100
   9.70     0.99    68.20    0.59 -172.50   100
   9.85     1.17    71.57    0.53 -172.45   100
  10.00     0.66    56.31    0.55 -172.41   100
  10.15     0.76    75.96    0.61 -172.63   100
  10.30     0.92    90.00    0.65 -172.63   100
  10.45     0.94   101.31    0.63 -172.42   100
  10.60     0.92    90.00    0.61 -172.27   100
