#DataName: Atmospheric Wind and Refractive Index Structure Constant
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-03T13:15:00
#DataLevel: L2
#DataVersion: V01.00
#DataStartTime: 2024-04-03T13:00:00.000
#DataEndTime: 2024-04-03T13:14:37.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=8.00us, PlsCode=8-bit Complementary, PRF=781.25Hz, PlsAccum=8, Range=192km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=8
#Height(km): The Height Level of the Wind Data, F7.2, missingdata=NaN
#Horiz WS(m/s): Horizontal Wind Speed in m/s, F8.2, missingdata=-99999999
#Horiz_WD(m/s): Horizontal Direction in Degree, Clockwise from Due North, F8.2, missingdata=-99999999
#Verti_V(m/s): Vertical Velocity in m/s, F7.2, missingdata=-9999999
#Cn2(dB): Atmospheric Refractive index Structure Constant in dB, F7.2, missingdata=-9999999
#Credi: Credibility of Data, I5.3, missingdata=-99999
#-------------------------------------------------------------------
 Height Horiz_WS Horiz_WD Verti_V     Cn2 Credi
   0.30    14.01    67.06    0.79 -179.82   100
   1.50     0.12    86.56    0.16 -167.55   100
   2.70     9.64   250.39   -0.15 -159.65   100
   3.90    15.50   251.39   -0.27 -155.39   100
   5.10    16.78   252.85   -0.26 -154.91   100
   6.30    17.81   254.86   -0.26 -155.20   100
   7.50    20.15   258.31   -0.25 -154.97   100
   8.70    22.42   261.79   -0.27 -155.68   100
   9.90    25.24   268.59   -0.30 -156.75   100
  11.10    28.77   272.36   -0.40 -156.93   100
  12.30    32.47   273.30   -0.55 -157.44   100
  13.50    32.56   275.48   -0.72 -157.64   100
  14.70    34.94   274.01   -0.60 -159.44   100
  15.90    32.37   272.13    0.92 -164.94   100
  17.10    25.41   271.12    2.97 -171.27    84
  18.30    17.15   266.74    4.50 -171.49    79
  19.50    17.15   266.74    4.53 -171.49    90
  20.70     9.54   269.02    5.86 -171.54    65
  21.90     7.40   207.89    5.68 -170.44   100
  23.10    10.38   187.74    4.27 -170.25    92
  24.30    13.13   162.83    4.29 -172.74    82
  25.50    14.55   193.19    5.65 -174.08    70
  26.70    19.03   246.26    7.92 -173.27    60
  27.90    43.87   254.38    7.40 -174.56    44
  29.10    50.17   274.73   10.26 -173.33    17
  30.30 -99999999 -99999999 -9999999 -174.63 -99999
  31.50 -99999999 -99999999 -9999999 -174.72 -99999
  32.70 -99999999 -99999999 -9999999 -175.65 -99999
  33.90 -99999999 -99999999 -9999999 -175.60 -99999
