#DataName: Atmospheric Wind and Refractive Index Structure Constant
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-14T14:54:32
#DataLevel: L2
#DataVersion: V01.00
#DataStartTime: 2024-04-14T14:50:00.000
#DataEndTime: 2024-04-14T14:54:02.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=576kW, WellRAntennaNum=931, WellTAntennaNum=576
#DeviceSpec: Freq=161.00MHz, PkPower=1152kW, RAntennaNum=931, TAntennaNum=576, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=1562.50Hz, PlsAccum=6, Range=96km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=10
#Height(km): The Height Level of the Wind Data, F7.2, missingdata=NaN
#Horiz WS(m/s): Horizontal Wind Speed in m/s, F8.2, missingdata=-99999999
#Horiz_WD(m/s): Horizontal Direction in Degree, Clockwise from Due North, F8.2, missingdata=-99999999
#Verti_V(m/s): Vertical Velocity in m/s, F7.2, missingdata=-9999999
#Cn2(dB): Atmospheric Refractive index Structure Constant in dB, F7.2, missingdata=-9999999
#Credi: Credibility of Data, I5.3, missingdata=-99999
#-------------------------------------------------------------------
 Height Horiz_WS Horiz_WD Verti_V     Cn2 Credi
   0.30    11.74   148.72    0.16 -184.73   100
   0.90    10.81   183.75   -0.11 -172.87   100
   1.50     9.63   218.48   -0.29 -162.43   100
   2.10    12.06   230.59   -0.30 -155.60   100
   2.70    12.57   242.53   -0.26 -152.46   100
   3.30    13.69   249.21   -0.22 -151.94   100
   3.90    15.10   254.17   -0.20 -151.94   100
   4.50    15.76   258.56   -0.21 -151.65   100
   5.10    15.89   261.50   -0.22 -148.60   100
   5.70    15.89   261.61   -0.22 -143.34   100
   6.30    15.97   260.15   -0.13 -140.45   100
   6.90    16.22   257.37   -0.09 -140.45   100
   7.50    16.52   254.57   -0.06 -144.81   100
   8.10    16.49   252.02   -0.13 -148.08   100
   8.70    17.22   248.89   -0.10 -151.14   100
   9.30    17.24   244.80   -0.08 -154.25   100
   9.90    17.22   240.84   -0.32 -156.95   100
  10.50    19.52   234.95   -0.36 -159.14   100
  11.10    24.99   234.16   -0.30 -161.58   100
  11.70    30.20   236.49   -0.20 -163.91   100
  12.30    35.89   240.92   -0.16 -167.89   100
  12.90    37.75   242.48    0.05 -170.30   100
  13.50    40.88   246.84    0.05 -172.85    90
  14.10    41.55   247.81   -0.01 -172.88    94
  14.70    39.70   247.22   -0.11 -172.88   100
  15.30    44.32   232.22   -1.66 -172.88    89
  15.90    41.75   231.27   -2.03 -172.29    90
  16.50    50.81   217.65   -3.82 -171.69    89
  17.10    58.54   206.07   -5.42 -170.95   100
  17.70    52.13   200.63   -5.18 -9999999    85
  18.30    52.93   196.70   -6.37 -9999999    78
  18.90    53.70   192.67   -6.69 -9999999    89
  19.50    50.46   193.49   -6.20 -9999999    65
  20.10    34.83   194.22   -4.31 -9999999    68
  20.70 -99999999 -99999999 -9999999 -9999999 -99999
  21.30 -99999999 -99999999 -9999999 -9999999 -99999
  21.90 -99999999 -99999999 -9999999 -9999999 -99999
  22.50 -99999999 -99999999 -9999999 -9999999 -99999
  23.10 -99999999 -99999999 -9999999 -9999999 -99999
  23.70 -99999999 -99999999 -9999999 -9999999 -99999
  24.30 -99999999 -99999999 -9999999 -9999999 -99999
  24.90 -99999999 -99999999 -9999999 -9999999 -99999
  25.50 -99999999 -99999999 -9999999 -9999999 -99999
  26.10 -99999999 -99999999 -9999999 -9999999 -99999
  26.70 -99999999 -99999999 -9999999 -9999999 -99999
  27.30 -99999999 -99999999 -9999999 -9999999 -99999
  27.90 -99999999 -99999999 -9999999 -9999999 -99999
  28.50 -99999999 -99999999 -9999999 -9999999 -99999
  29.10 -99999999 -99999999 -9999999 -9999999 -99999
  29.70 -99999999 -99999999 -9999999 -9999999 -99999
  30.30 -99999999 -99999999 -9999999 -9999999 -99999
  30.90 -99999999 -99999999 -9999999 -9999999 -99999
  31.50 -99999999 -99999999 -9999999 -9999999 -99999
  32.10 -99999999 -99999999 -9999999 -9999999 -99999
  32.70 -99999999 -99999999 -9999999 -9999999 -99999
  33.30 -99999999 -99999999 -9999999 -9999999 -99999
  33.90 -99999999 -99999999 -9999999 -9999999 -99999
  34.50 -99999999 -99999999 -9999999 -9999999 -99999
