#DataName: Atmospheric Wind and Refractive Index Structure Constant
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-13T18:15:41
#DataLevel: L2
#DataVersion: V01.00
#DataStartTime: 2024-04-13T18:00:00.000
#DataEndTime: 2024-04-13T18:15:17.000
#RecordNumber: 100
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=2500.00Hz, PlsAccum=26, Range=60km, GateNum=100, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=10
#Height(km): The Height Level of the Wind Data, F7.2, missingdata=NaN
#Horiz WS(m/s): Horizontal Wind Speed in m/s, F8.2, missingdata=-99999999
#Horiz_WD(m/s): Horizontal Direction in Degree, Clockwise from Due North, F8.2, missingdata=-99999999
#Verti_V(m/s): Vertical Velocity in m/s, F7.2, missingdata=-9999999
#Cn2(dB): Atmospheric Refractive index Structure Constant in dB, F7.2, missingdata=-9999999
#Credi: Credibility of Data, I5.3, missingdata=-99999
#-------------------------------------------------------------------
 Height Horiz_WS Horiz_WD Verti_V     Cn2 Credi
   0.30    17.59    37.81    0.20 -139.95   100
   0.90     0.00   296.14   -0.15 -134.68   100
   1.50    11.75   229.79   -0.48 -129.53   100
   2.10    18.19   234.73   -0.68 -124.04   100
   2.70    19.88   235.25   -0.75 -119.85   100
   3.30    19.79   239.04   -0.74 -118.44   100
   3.90    19.36   245.47   -0.70 -118.43   100
   4.50    17.97   251.17   -0.60 -119.58   100
   5.10    16.24   256.72   -0.49 -123.60   100
   5.70    15.73   257.71   -0.41 -127.42   100
   6.30    15.30   257.59   -0.37 -131.77   100
   6.90    15.69   254.10   -0.29 -131.77   100
   7.50    18.66   245.89   -0.30 -131.62   100
   8.10    22.33   245.48   -0.31 -131.81   100
   8.70    25.63   246.70   -0.33 -131.81   100
   9.30    29.29   247.37   -0.26 -132.69   100
   9.90    31.29   247.87   -0.15 -135.48   100
  10.50    32.74   248.36   -0.06 -138.92   100
  11.10    34.38   245.19   -0.07 -142.33   100
  11.70    35.80   244.41   -0.07 -145.78   100
  12.30    37.20   245.28    0.04 -147.99   100
  12.90    39.55   246.90    0.10 -150.24   100
  13.50    40.61   249.80    0.13 -152.21   100
  14.10    40.50   251.80    0.09 -154.04   100
  14.70    39.81   253.21    0.02 -154.04   100
  15.30    37.74   252.26   -0.07 -155.18   100
  15.90    33.38   249.49   -0.09 -156.21   100
  16.50    29.65   247.42   -0.11 -156.62   100
  17.10    25.80   246.82   -0.01 -154.81   100
  17.70    22.41   245.06   -0.05 -157.00   100
  18.30    18.12   246.75   -0.15 -158.67   100
  18.90    14.20   242.18   -0.34 -156.48   100
  19.50    11.84   235.92   -0.28 -158.43   100
  20.10     9.09   230.57   -0.34 -161.78   100
  20.70     6.71   232.61   -0.38 -158.36   100
  21.30     4.57   222.39   -0.41 -161.86   100
  21.90     2.45   190.17   -0.39 -168.82   100
  22.50     3.48   108.12   -0.19 -171.99    89
  23.10     4.42    90.94    0.04 -171.84   100
  23.70     6.47    82.61    0.18 -171.84   100
  24.30     7.27    73.74    0.06 -9999999    75
  24.90    20.70    82.24   -0.02 -9999999    66
  25.50 -99999999 -99999999 -9999999 -9999999 -99999
  26.10 -99999999 -99999999 -9999999 -9999999 -99999
  26.70 -99999999 -99999999 -9999999 -9999999 -99999
  27.30 -99999999 -99999999 -9999999 -9999999 -99999
  27.90 -99999999 -99999999 -9999999 -9999999 -99999
  28.50 -99999999 -99999999 -9999999 -9999999 -99999
  29.10 -99999999 -99999999 -9999999 -9999999 -99999
  29.70    28.08    87.43    3.80 -9999999    64
  30.30 -99999999 -99999999 -9999999 -9999999 -99999
  30.90 -99999999 -99999999 -9999999 -9999999 -99999
  31.50 -99999999 -99999999 -9999999 -9999999 -99999
  32.10 -99999999 -99999999 -9999999 -9999999 -99999
  32.70 -99999999 -99999999 -9999999 -9999999 -99999
  33.30 -99999999 -99999999 -9999999 -9999999 -99999
  33.90 -99999999 -99999999 -9999999 -9999999 -99999
  34.50 -99999999 -99999999 -9999999 -9999999 -99999
  35.10 -99999999 -99999999 -9999999 -9999999 -99999
  35.70 -99999999 -99999999 -9999999 -9999999 -99999
  36.30 -99999999 -99999999 -9999999 -9999999 -99999
  36.90 -99999999 -99999999 -9999999 -9999999 -99999
  37.50 -99999999 -99999999 -9999999 -9999999 -99999
  38.10 -99999999 -99999999 -9999999 -9999999 -99999
  38.70 -99999999 -99999999 -9999999 -9999999 -99999
  39.30 -99999999 -99999999 -9999999 -9999999 -99999
  39.90 -99999999 -99999999 -9999999 -9999999 -99999
