#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-20T15:15:29
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-20T15:00:00.000
#DataEndTime: 2024-04-20T15:15:18.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=8.00us, PlsCode=8-bit Complementary, PRF=781.25Hz, PlsAccum=4, Range=192km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300 -99999 -9999999 -999999   7.2   -2.12 101.28   4.6   -1.96 -27.18  20.6    0.07  49.21 -99999 -9999999 -999999
   1500 -99999 -9999999 -999999  21.5    0.01  80.97  20.0    0.00  28.04  20.6    0.07  49.21 -99999 -9999999 -999999
   2700 -99999 -9999999 -999999  28.7    1.09  74.67  30.3    0.87  63.61  20.6    0.07  49.21 -99999 -9999999 -999999
   3900 -99999 -9999999 -999999  38.0    2.72  77.39  35.9    1.37  82.97  34.9    0.07  90.69 -99999 -9999999 -999999
   5100 -99999 -9999999 -999999  40.2    3.31  73.81  36.5    1.61  89.45  34.9   -1.76  90.69 -99999 -9999999 -999999
   6300 -99999 -9999999 -999999  40.2    5.56  97.85  37.0    1.43  92.55  36.2   -1.55  83.68 -99999 -9999999 -999999
   7500 -99999 -9999999 -999999  40.2    5.56  97.85  37.2    1.50  98.99  36.9   -1.56  80.30 -99999 -9999999 -999999
   8700 -99999 -9999999 -999999  38.7    5.52  85.83  36.8    1.50  98.99  36.1   -1.56  64.18  33.0    0.35  79.25
   9900  32.7   -5.92  30.61  34.8    7.42  69.09  30.8    1.36  70.38  37.2    2.50  64.18  31.7    0.51  57.36
  11100  28.9   -6.89  21.89  33.2    8.06  52.45  30.2   -0.04  49.64  38.3    2.50  71.81  30.3    0.45  45.87
  12300  26.8   -7.25  18.98  29.8    9.30  24.80  27.9   -0.68  37.86  37.8    1.16  59.60  30.3    0.45  42.34
  13500  21.2   -7.85  11.83  25.6    8.92  16.02  23.2   -0.68  18.98  37.6    2.53  52.64  32.4    6.38  42.34
  14700  18.4   -7.86  10.68  22.5    9.05  14.11  21.6   -1.10  13.64  39.3   -5.37  65.23  30.7    6.37  35.76
  15900  16.6   -7.77   9.16  20.9    8.69  13.64  20.2   -0.65  10.40  39.3   -5.37  65.23  27.2    6.18  38.15
  17100  16.6   -6.70   8.39  20.3    6.11  11.83  18.8    0.19   7.72 -99999 -9999999 -999999  26.3    6.10  40.72
  18300  16.6   -5.30   7.44  20.0    3.58   9.92  18.9    0.31   4.77 -99999 -9999999 -999999  19.8    0.09  26.75
  19500  15.8   -3.54   6.10  19.5    0.97   7.25  18.9    0.31   5.05 -99999 -9999999 -999999  19.6    0.14  23.08
  20700  14.3   -1.81   4.86  17.0    0.39   5.82  16.6    0.58   4.48  18.0   -1.01   5.15  19.1    0.20  20.03
  21900  12.4   -0.18   4.29  14.1   -0.19   4.67  14.3    0.77   4.20  16.0   -1.46   4.86  18.0    0.29  13.83
  23100  11.0    1.08   3.81  11.4   -0.66   4.20  11.1    1.10   3.72  13.8   -1.37   4.58  16.7    0.29   4.96
