#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-01T23:14:51
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-01T23:00:00.000
#DataEndTime: 2024-04-01T23:14:37.000
#RecordNumber: 100
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=2500.00Hz, PlsAccum=26, Range=60km, GateNum=100, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  35.1    3.76  41.16  38.7   -3.22  30.59  32.5   -2.31  53.77  39.4    1.39  30.69  35.9   -0.20  34.18
    900  35.6   -0.09  41.41  36.6   -0.05  37.38  33.9   -0.06  48.69  35.6   -0.12  41.08  33.5   -0.07  50.82
   1500  39.6   -2.70  31.09  40.0    2.16  30.70  37.5    1.50  36.61  38.3   -1.41  35.12  36.1    0.04  45.26
   2100  43.2   -3.96  22.48  44.2    3.32  20.11  41.6    2.27  25.65  44.0   -2.13  21.52  41.8    0.10  26.63
   2700  47.0   -3.96  12.70  48.1    3.40  11.41  45.5    2.27  15.32  48.3   -2.29  11.45  46.4    0.10  13.69
   3300  47.5   -3.96  11.99  48.8    3.40  10.65  47.0    2.24  12.46  49.3   -2.29   9.87  46.9    0.09  12.90
   3900  48.4   -3.96  11.00  48.8    3.40  10.62  47.2    1.60  12.06  49.3   -1.87   9.87  48.0    0.07  11.47
   4500  48.0   -4.00  11.24  48.2    3.40  11.24  47.2    1.25  12.06  47.6   -1.42  11.59  46.9    0.01  12.90
   5100  49.1   -4.10   9.96  49.4    3.62   9.89  47.5    1.25  11.47  47.1   -1.42  11.89  44.5    0.01  15.98
   5700  48.6   -4.94   9.96  48.1    4.59  10.74  45.4    1.47  13.65  46.1   -1.62  12.59  40.7    0.07  21.93
   6300  47.3   -5.43  10.98  47.6    5.23  10.84  44.0    2.04  15.37  46.1   -2.00  12.59  38.5    0.01  24.89
   6900  45.7   -5.99  12.44  47.1    5.70  10.97  43.4    2.17  15.71  46.6   -2.27  11.43  38.0   -0.08  25.80
   7500  45.2   -6.33  13.25  47.6    6.06  10.44  43.7    2.36  15.48  46.6   -2.35  11.42  37.9   -0.11  26.78
   8100  44.1   -6.57  14.87  45.6    6.21  13.04  41.3    2.18  20.56  46.0   -2.26  12.14  36.5   -0.23  31.61
   8700  42.8   -7.01  17.47  44.2    6.46  16.07  41.7    2.18  19.50  44.5   -2.26  14.47  36.1   -0.29  33.56
   9300  40.9   -7.65  21.33  41.0    7.04  22.48  40.1    2.38  23.28  42.1   -2.56  18.56  34.0   -0.33  40.95
   9900  37.7   -7.90  32.24  36.9    7.22  34.34  35.6    2.41  41.44  38.9   -2.69  27.09  34.0   -0.33  40.95
  10500  34.4   -8.00  44.65  34.5    7.32  44.02  31.5    2.41  59.44  35.8   -2.69  37.51  34.3   -0.21  40.03
