·#DataName: Atmospheric Wind and Refractive Index Structure Constant
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-06-03T00:15:39
#DataLevel: L2
#DataVersion: V01.00
#DataStartTime: 2024-06-03T00:00:00.000
#DataEndTime: 2024-06-03T00:15:26.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=8.00us, PlsCode=8-bit Complementary, PRF=781.25Hz, PlsAccum=4, Range=192km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=8
#Height(km): The Height Level of the Wind Data, F7.2, missingdata=NaN
#Horiz WS(m/s): Horizontal Wind Speed in m/s, F8.2, missingdata=-99999999
#Horiz_WD(m/s): Horizontal Direction in Degree, Clockwise from Due North, F8.2, missingdata=-99999999
#Verti_V(m/s): Vertical Velocity in m/s, F7.2, missingdata=-9999999
#Cn2(dB): Atmospheric Refractive index Structure Constant in dB, F7.2, missingdata=-9999999
#Credi: Credibility of Data, I5.3, missingdata=-99999
#-------------------------------------------------------------------
 Height Horiz_WS Horiz_WD Verti_V     Cn2 Credi
   0.30 -99999999 -99999999 -9999999 -181.05 -99999
   1.50 -99999999 -99999999 -9999999 -167.32 -99999
   2.70 -99999999 -99999999 -9999999 -157.68 -99999
   3.90 -99999999 -99999999 -9999999 -153.81 -99999
   5.10 -99999999 -99999999 -9999999 -153.32 -99999
   6.30 -99999999 -99999999 -9999999 -153.05 -99999
   7.50 -99999999 -99999999 -9999999 -9999999 -99999
   8.70     1.44   226.43   -0.03 -9999999    66
   9.90     2.21   358.68    0.33 -152.04    89
  11.10     4.02     2.30    0.30 -156.05   100
  12.30     5.05     7.32   -0.08 -158.13   100
  13.50     5.95    13.64   -0.38 -161.83    80
  14.70     6.29    20.41   -0.40 -162.85   100
  15.90    15.14    71.33   -1.60 -162.85   100
  17.10    17.58    76.94   -1.43 -162.69   100
  18.30    21.74    79.63   -1.40 -162.51   100
  19.50    23.61    81.49   -1.39 -160.59   100
  20.70    14.38    79.08   -0.33 -159.77   100
  21.90    12.78    79.87   -0.27 -161.55   100
  23.10    12.88    84.02   -0.28 -163.07   100
  24.30    10.97    88.48    0.05 -167.43   100
  25.50    10.25    91.12    0.12 -167.43    50
  26.70     7.73    80.23    0.47 -171.03    60
  27.90     4.34    73.28    0.36 -174.84    46
  29.10     1.51   161.14   -0.15 -9999999    66
  30.30     1.19   280.95    0.29 -9999999    35
  31.50     1.16   283.48    0.28 -9999999    56
  32.70     1.59   259.95    0.40 -175.13    48
  33.90 -99999999 -99999999 -9999999 -175.13 -99999
  35.10 -99999999 -99999999 -9999999 -175.17 -99999
