#DataName: Atmospheric Wind and Refractive Index Structure Constant
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-01T05:06:33
#DataLevel: L2
#DataVersion: V01.00
#DataStartTime: 2024-04-01T05:04:08.000
#DataEndTime: 2024-04-01T05:06:09.000
#RecordNumber: 200
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=576kW, WellRAntennaNum=931, WellTAntennaNum=576
#DeviceSpec: Freq=161.00MHz, PkPower=1152kW, RAntennaNum=931, TAntennaNum=576, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=5000.00Hz, PlsAccum=16, Range=30km, GateNum=200, Rmin=100m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=5
#Height(km): The Height Level of the Wind Data, F7.2, missingdata=NaN
#Horiz WS(m/s): Horizontal Wind Speed in m/s, F8.2, missingdata=-99999999
#Horiz_WD(m/s): Horizontal Direction in Degree, Clockwise from Due North, F8.2, missingdata=-99999999
#Verti_V(m/s): Vertical Velocity in m/s, F7.2, missingdata=-9999999
#Cn2(dB): Atmospheric Refractive index Structure Constant in dB, F7.2, missingdata=-9999999
#Credi: Credibility of Data, I5.3, missingdata=-99999
#-------------------------------------------------------------------
 Height Horiz_WS Horiz_WD Verti_V     Cn2 Credi
   0.10     1.36   227.57    0.41 -171.55    89
   0.25     1.12   291.87    0.28 -172.56   100
   0.40     0.87   329.30    0.36 -172.95    89
   0.55     2.73   310.41    0.46 -173.15    66
   0.70 -99999999 -99999999 -9999999 -173.41 -99999
   0.85 -99999999 -99999999 -9999999 -169.75 -99999
   1.00 -99999999 -99999999 -9999999 -169.75 -99999
   1.15 -99999999 -99999999 -9999999 -161.48 -99999
   1.30     1.66    98.67   -0.48 -152.86    85
   1.45     1.69    96.06   -1.17 -147.50   100
   1.60     1.61    86.63   -1.43 -146.84   100
   1.75     1.36   110.66   -1.83 -146.54   100
   1.90     1.42   115.97   -1.82 -146.54   100
   2.05     1.62   139.77   -1.74 -149.38   100
   2.20     1.72   152.05   -1.65 -154.27    77
   2.35 -99999999 -99999999 -9999999 -154.27 -99999
   2.50 -99999999 -99999999 -9999999 -158.12 -99999
   2.65 -99999999 -99999999 -9999999 -161.21 -99999
   2.80 -99999999 -99999999 -9999999 -173.11 -99999
   2.95 -99999999 -99999999 -9999999 -9999999 -99999
   3.10 -99999999 -99999999 -9999999 -9999999 -99999
   3.25     1.62    28.24    1.89 -9999999    60
   3.40     1.53   319.96    1.37 -9999999    63
   3.55     4.25   266.79    0.60 -9999999    84
   3.70     1.13   253.39    0.50 -9999999    89
   3.85     4.61   180.31   -0.10 -174.96    89
   4.00     5.68   183.10    0.30 -174.56    94
   4.15     1.34   224.06    0.51 -174.68    88
