#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-06T13:45:40
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-06T13:30:00.000
#DataEndTime: 2024-04-06T13:45:17.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=8.00us, PlsCode=8-bit Complementary, PRF=781.25Hz, PlsAccum=8, Range=192km, GateNum=160, Rmin=300m, EleAngle=10.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300   4.3    2.20  92.41   4.9   -0.84  68.38   0.1   -0.33  24.32  -1.3    1.31  14.59  13.3    0.36   8.30
   1500  21.0    0.25  80.11  21.1    0.19  80.68  17.0    0.15  42.06  17.1    0.17  40.34  18.5    0.09  26.32
   2700  31.8   -1.11  75.34  31.6    0.90  89.07  27.8    0.35  53.88  29.3   -0.56  57.22  21.8   -0.10  39.86
   3900  37.2   -1.83  73.81  36.6    1.26  89.07  32.7    0.35  60.08  35.4   -0.62  66.57  23.5   -0.21  48.83
   5100  37.2   -1.91  70.95  36.6    1.31  90.22  33.4    0.27  60.08  35.5   -0.80  66.57  24.5   -0.25  53.12
   6300  37.2   -2.00  67.90  36.3    1.50  83.73  32.8   -0.00  59.13  35.4   -0.52  65.71  25.7   -0.25  56.84
   7500  36.1   -2.13  64.18  35.3    2.30  72.19  32.2   -0.49  57.60  34.9    0.02  60.18  26.8   -0.25  58.75
   8700  34.6   -2.45  56.46  34.1    3.07  62.18  31.9   -0.88  49.59  33.9    0.36  53.41  27.4   -0.21  61.99
   9900  30.8   -3.33  44.54  31.2    3.78  45.11  31.8   -1.18  36.62  32.3    0.65  42.25  26.8   -0.09  58.75
  11100  26.5   -4.55  29.75  27.4    4.22  28.71  27.7   -1.20  21.27  28.6    0.70  28.71  25.8   -0.07  49.02
  12300  20.8   -5.68  14.88  22.0    4.71  13.64  22.4   -1.20  11.63  23.5    0.59  14.88  23.3   -0.07  32.90
  13500  19.0   -5.91  10.20  21.0    4.78  10.87  19.5   -1.09   9.06  20.1    0.40   6.87  20.9   -0.21  17.17
  14700  19.0   -5.91   9.54  20.3    4.82   9.63  18.6   -0.91   9.06  19.9    0.24   6.87  19.4   -0.25  11.63
  15900  18.8   -5.49   7.92  19.3    4.51   9.44  18.0   -0.81   8.30  18.7    0.17   6.96  19.3   -0.25  11.63
  17100  20.9   -4.94   7.63  20.8    4.23   8.39  20.1   -0.75   8.30  19.9    0.17   7.53  19.7   -0.39  14.21
  18300  21.7   -4.07   6.77  20.9    3.52   8.01  21.5   -0.57   8.49  20.4    0.25   8.01  19.3   -0.39  16.50
  19500  21.7   -2.86   5.44  20.0    2.31   6.39  20.0   -0.29   7.06  19.7    0.10   8.01  18.5   -0.35  16.50
  20700  19.3   -1.67   4.67  18.4    1.01   5.44  18.5   -0.34   6.58  17.1    0.35   6.58  16.0   -0.51  14.40
  21900  20.8   -0.64   5.15  16.2    0.02   4.96  16.0   -0.34   5.72  17.9    0.43   6.58  12.8   -0.51   9.54
  23100  16.7   -0.09   4.29  11.8   -0.43   3.72  11.0   -0.51   5.25  14.1    0.33   5.05  10.2   -0.34   4.77
  24300  12.2    0.33   3.72   9.2   -0.81   3.43   7.4   -1.82   3.53   8.9   -0.00   3.15  10.2   -0.17   4.77
  25500  10.8    0.37   3.72  10.4   -0.81   3.53   5.4   -1.82   2.67   6.9    0.26   2.72  10.2   -0.04   4.72
  26700   9.1    0.50   3.43   7.4   -0.79   3.15   4.6   -2.04   1.81   4.5    0.30   1.72   9.6   -0.03   4.29
  27900   9.1    0.50   3.43   8.4   -0.76   3.43   5.6    5.34   2.77   4.5    0.30   1.72 -99999 -9999999 -999999
  29100 -99999 -9999999 -999999 -99999 -9999999 -999999   4.7    8.64   1.86 -99999 -9999999 -999999 -99999 -9999999 -999999
  30300 -99999 -9999999 -999999 -99999 -9999999 -999999   4.8   17.90   2.00 -99999 -9999999 -999999 -99999 -9999999 -999999
  31500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  32700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  33900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  35100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  36300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  37500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  38700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  39900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  41100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  42300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  43500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  44700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  45900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  47100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  48300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  49500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  50700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  51900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  53100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  54300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  55500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  56700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  57900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  59100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  60300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
