#DataName: Atmospheric Wind and Refractive Index Structure Constant
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-11T15:45:33
#DataLevel: L2
#DataVersion: V01.00
#DataStartTime: 2024-04-11T15:30:00.000
#DataEndTime: 2024-04-11T15:45:18.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=1562.50Hz, PlsAccum=16, Range=96km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=10
#Height(km): The Height Level of the Wind Data, F7.2, missingdata=NaN
#Horiz WS(m/s): Horizontal Wind Speed in m/s, F8.2, missingdata=-99999999
#Horiz_WD(m/s): Horizontal Direction in Degree, Clockwise from Due North, F8.2, missingdata=-99999999
#Verti_V(m/s): Vertical Velocity in m/s, F7.2, missingdata=-9999999
#Cn2(dB): Atmospheric Refractive index Structure Constant in dB, F7.2, missingdata=-9999999
#Credi: Credibility of Data, I5.3, missingdata=-99999
#-------------------------------------------------------------------
 Height Horiz_WS Horiz_WD Verti_V     Cn2 Credi
   0.30     6.41    38.77   -0.43 -127.58   100
   0.90     0.04   270.51   -0.15 -134.39   100
   1.50     5.40   227.57   -0.11 -133.40   100
   2.10     8.38   232.55   -0.13 -128.21   100
   2.70     9.52   236.84   -0.16 -123.48   100
   3.30     9.49   239.66   -0.19 -121.79   100
   3.90     9.72   250.76   -0.17 -120.31   100
   4.50    10.95   257.34   -0.16 -121.68   100
   5.10    12.40   258.75   -0.17 -126.44   100
   5.70    12.91   260.31   -0.18 -131.64   100
   6.30    13.22   260.39   -0.19 -136.42   100
   6.90    13.93   260.75   -0.21 -138.50   100
   7.50    15.27   260.97   -0.23 -138.50   100
   8.10    16.95   262.99   -0.23 -142.09   100
   8.70    17.39   263.97   -0.09 -143.52    94
   9.30    18.21   267.81    0.07 -146.00    94
   9.90    21.09   265.54    0.05 -148.30   100
  10.50    24.88   263.21    0.15 -149.02   100
  11.10    28.57   275.20    0.80 -148.28   100
  11.70    31.17   262.82    0.12 -148.28    94
  12.30    33.71   260.66   -0.18 -155.72    94
  12.90    34.83   261.30   -0.15 -158.31    94
  13.50    34.96   263.09   -0.18 -161.76   100
  14.10    34.82   263.30   -0.24 -161.76   100
  14.70    33.58   263.51   -0.25 -159.39   100
  15.30    31.72   263.96   -0.22 -158.73   100
  15.90    27.81   261.39   -0.32 -157.04   100
  16.50    24.15   252.38   -0.34 -157.28   100
  17.10    22.22   252.00   -0.18 -160.82   100
  17.70    20.04   251.20    0.66 -165.13   100
